Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Reklama:,Reklama/pasiūlymas:,Unikalus daikto numeris(RC numeris):,Kambarių sk.:,Papildoma įranga:,Apsauga:,Artimiausias vandens telkinys:,Pastato energijos suvartojimo klasė:
"Alytaus r. sav., Medukštos k., Sodininkų g., mūrinis sodo namas",41 300 €,52,"137,73 m²","6,82 a",2,1982,Mūrinis,Sodo namas,"Centrinis, kietu kuru",Kita,Įrengtas,10,Kraštinis sklypasAsfaltuotas privažiavimasElektra,GaražasRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Navasodų I k., rąstinė sodyba",21 000 €,1,"2,034 m²","2,034 a",1,1970,Rąstinis,Sodyba,Kietu kuru,Šulinys,Įrengtas,,Greta miško,RūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3313-0005-0042,2,Su baldais,,,
"Alytaus r. sav., Skiturių k., Skiturių g., rąstinis namas",19 000 €,25,"48,37 m²",16 a,1,1956,Rąstinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-0005-2431,,,,,
"Alytaus r. sav., Medukštos k., Medžiotojų g., mūrinis sodo namas",16 250 €,42,52 m²,10 a,2,1980,Mūrinis,Sodo namas,Kita,Kita,Įrengtas,,Greta miškoAsfaltuotas privažiavimasElektra,Rūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,1,,,,
"Alytaus r. sav., Lelionių k., Ežerėlio g., mūrinis namas",50 000 €,,356 m²,18 a,2,1961,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Bendrių k., Saulėtekio g., medinis kita",20 000 €,2,60 m²,42 a,1,2011,Medinis,"Kita (nukeliamas, projektas, kt.)",Elektra,,Neįrengtas,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-0683-8051,,,,,
"Alytaus r. sav., Navasodų I k., rąstinis namas",79 000 €,2,110 m²,1525 a,1,1988,Rąstinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Kita,,Greta miškoElektra,GaražasŪkiniai pastatai,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Padvariškių k., Lapakalnio g., mūrinis namas",229 000 €,6,"279,05 m²",45 a,3,"1986 statyba, 2011 renovacija",Mūrinis,Namas (gyvenamasis),"Skystu kuru, kietu kuru","Šulinys, vietinis vandentiekis",Įrengtas,,Asfaltuotas privažiavimasElektra,GaražasPirtisRūsysŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Virtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaVaizdo kameros,,
"Alytaus r. sav., Medukštos k., Jurginų g., mūrinis sodo namas",26 000 €,,"55,3 m²","5,98 a",2,1987,Mūrinis,Sodo namas,"Elektra, kietu kuru",,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Miklusėnų k., Ūdrijos g., mūrinis namas",155 000 €,89,"128,02 m²","14,9 a",1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Neįrengtas,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Veismūnų k., medinė sodyba",44 999 €,,40 m²,25 a,1,2023,Medinis,Sodyba,"Kietu kuru, saulės energija, kita","Šulinys, kita",Įrengtas,5,Kraštinis sklypasGreta miškoElektraInternetasSu pakrante,PirtisŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,ViryklėŽidinys,,Upė,A+
"Alytus, Likiškėliai, Jūratės g., mūrinis namas",174 999 €,112,272 m²,"13,31 a",2,2017,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytus, Senamiestis, Sodų g., mūrinis namas",85 000 €,,66 m²,6 a,2,1961,Mūrinis,Namas (gyvenamasis),Kietu kuru,"Šulinys, vietinis vandentiekis",Įrengtas,200,Asfaltuotas privažiavimasElektra,RūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,Aptverta teritorija,Upė,
"Alytaus r. sav., Kaniūkų k., Žiedo g., mūrinis namas",156 000 €,,145 m²,6 a,2,2014,Mūrinis,Namas (gyvenamasis),Kietu kuru,Vietinis vandentiekis,Įrengtas,,,Rūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,
"Alytus, Vidzgiris, Sudvajų g., mūrinis sublokuotas namas",299 000 €,47,"320,26 m²","5,38 a",2,2000,Mūrinis,Sublokuotas namas,"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,,Asfaltuotas privažiavimasElektraDujos,GaražasRūbinėRūsysTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,8,Virtuvės komplektasŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,,
"Alytaus r. sav., Venciūnų k., Alytaus g., mūrinis namas",59 876 €,14,"102,22 m²",18 a,2,1971,Mūrinis,Namas (gyvenamasis),Kietu kuru,Vietinis vandentiekis,Įrengtas,950,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-1230-7070,6,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,,Upė,
"Alytus, Pirmas Alytus, Veliuonos g., mūrinis namas",125 555 €,8,80 m²,"6,29 a",1,2022,Mūrinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Dalinė apdaila,,Greta miškoElektra,Terasa,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Šildomos grindysPlastikiniai vamzdžiai,,,A++
