Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Reklama:,Artimiausias vandens telkinys:,Pastato energijos suvartojimo klasė:,Reklama/pasiūlymas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Iki vandens telkinio (m):,Unikalus daikto numeris(RC numeris):
"Palanga, Vaivorykštės g., mūrinis sublokuotas namas",187 000 €,39,"98,28 m²",2 a,4,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,Terasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,,
"Palanga, Elijos g., karkasinis namas",140 000 €,9F,"63,5 m²","2,54 a",,2,2021,Karkasinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vaivorykštės g., mūrinis sublokuotas namas",162 000 €,39,"84,85 m²",2 a,4,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,Terasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,,
"Palanga, Vaivorykštės g., mūrinis namas",199 000 €,39,"99,78 m²",3 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,Terasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,,
"Palanga, Smėlio tak., mūrinis namas",457 875 €,8,"92,5 m²",5 a,4,2,2023,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,400,
"Palanga, Medvalakio g., mūrinis sublokuotas namas",188 937 €,,"89,97 m²","1,7 a",4,2,2025,Mūrinis,Sublokuotas namas,Centrinis kolektorinis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraInternetas,Terasa,Plastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,,
"Palanga, Plytų g., mūrinis namas",1 800 000 €,,615 m²,"8,13 a",15,4,2006,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,B,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,BaseinasPirtisRūbinėRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,900,
"Palanga, Kontininkų g., mūrinis sublokuotas namas",400 000 €,,94 m²,"3,5 a",4,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,350,
"Palanga, Užkanavės g., mūrinis namas",949 000 €,60,462 m²,20 a,,3,2002,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasDujosInternetasKabelinė televizija,BaseinasPirtisRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaVaizdo kameros,200,
"Palanga, Palanga, Sakalo g., mūrinis sublokuotas namas",183 000 €,12,46 m²,"1,65 a",3,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Greta miškoElektraInternetas,,Šildomos grindys,Aptverta teritorija,350,
"Palanga, Pavasario g., mūrinis namas",350 000 €,10A,112 m²,"6,7 a",,1,2020,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, Medvalakio g., mūrinis namas",289 000 €,,"263,68 m²","4,83 a",6,2,1995,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,ElektraDujosInternetas,GaražasRūsys,,SignalizacijaVaizdo kameros,,
"Palanga, Kita (nukeliamas, projektas, kt.)",7 500 €,,18 m²,0 a,,1,2024,Kita,"Kita (nukeliamas, projektas, kt.)",Elektra,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Putinų tak., mūrinis namas",282 000 €,,"217,32 m²","14,98 a",,2,2013,Mūrinis,Namas (gyvenamasis),Geoterminis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Akacijų g., mūrinis sublokuotas namas",159 000 €,,"67,85 m²","3,75 a",3,1,2024,Mūrinis,Sublokuotas namas,"Aeroterminis, saulės energija",Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasElektraInternetas,Terasa,Šildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacija,1 000,
"Palanga, Kunigiškių g., mūrinis sublokuotas namas",337 000 €,,"78,4 m²","1,64 a",3,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Elektra,Terasa,KondicionieriusSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,650,
"Palanga, Asiūklių g., mūrinis namas",174 999 €,18,80 m²,5 a,,1,2023,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Bangų g., mūrinis namas",319 000 €,26,128 m²,5 a,5,2,2023,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis, saulės energija",Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraDujos,Terasa,,Aptverta teritorija,1 500,
