Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Pastato energijos suvartojimo klasė:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Unikalus daikto numeris(RC numeris):
"Panevėžys, Klaipėdos, Klaipėdos g., mūrinis namas",255 000 €,155A,198 m²,"7,8 a",4,2,2012,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,ElektraDujosInternetasKabelinė televizija,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vaivadų k., Bobkalnio g., mūrinis namas",139 000 €,3,155 m²,"10,5 a",4,1,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,Garažas,Židinys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,,
"Panevėžys, Skaistakalnis, Ukmergės g., mūrinis sublokuotas namas",269 000 €,33B,344 m²,6 a,,4,1997,Mūrinis,Sublokuotas namas,"Centrinis, elektra, kita",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Daukniškių k., mūrinis namas",112 000 €,,80 m²,6 a,4,2,2003,Mūrinis,Namas (gyvenamasis),"Centrinis, elektra, centrinis kolektorinis, saulės energija",Šulinys,Dalinė apdaila,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetas,GaražasRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,SignalizacijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,20,
"Panevėžio r. sav., Paįstrio k., Ramybės g., medinis namas",55 000 €,10,80 m²,15 a,,1,1980,Medinis,Namas (gyvenamasis),Kietu kuru,"Miesto vandentiekis, šulinys",Įrengtas,Greta miškoAsfaltuotas privažiavimasElektra,GaražasPirtisŪkiniai pastatai,Židinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Tičkūnų k., Serbentų g., medinis sodo namas",10 000 €,23,10 m²,"4,67 a",,1,1970,Medinis,Sodo namas,Kita,Vietinis vandentiekis,Neįrengtas,Elektra,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,500,6697-4035-0018
"Panevėžio r. sav., Janališkių k., Riešutų al., medinis sodo namas",13 500 €,9,36 m²,6 a,,1,2023,Medinis,Sodo namas,Elektra,,Neįrengtas,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Dembavos k., Lankų g., mūrinis namas",25 000 €,6,100 m²,9 a,,1,2024,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis, saulės energija",,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Berniūnų k., Nevėžio g., mūrinis sublokuotas namas",72 000 €,2,86 m²,0 a,,2,1971,Mūrinis,Sublokuotas namas,"Centrinis, centrinis kolektorinis, dujinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Žemaičiai, Kirkūnų g., mūrinis namas",165 000 €,44,120 m²,"9,5 a",,1,2023,Mūrinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasElektra,Terasa,Šildomos grindysPlastikiniai vamzdžiai,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,,
"Panevėžio r. sav., Janališkių k., Pakrantės g., mūrinis sodo namas",27 800 €,,74 m²,"13,45 a",,2,2012,Mūrinis,Sodo namas,Kita,,Nebaigtas statyti,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Šeškų k., Šeškų g., mūrinis namas",33 000 €,43,62 m²,"6,26 a",,2,1990,Mūrinis,Namas (gyvenamasis),Kietu kuru,"Šulinys, vietinis vandentiekis",Dalinė apdaila,Asfaltuotas privažiavimasElektra,,Židinys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Slyvų g., mūrinis namas",95 000 €,22,"218,55 m²",6 a,5,2,1974,Mūrinis,Namas (gyvenamasis),"Centrinis, elektra, dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,Su baldaisŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A,,3 000,
"Panevėžys, Tulpės, Mindaugo g., karkasinis sublokuotas namas",247 000 €,44,165 m²,5 a,,2,2023,Karkasinis,Sublokuotas namas,"Elektra, dujinis",Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėTerasa,KondicionieriusPlastikiniai vamzdžiaiRekuperacinė sistema,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,Upė,100,
"Panevėžio r. sav., Staniūnų k., Didžioji g., mūrinis namas",120 000 €,,108 m²,14 a,,1,2023,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
