Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Šiaulių r. sav., Raizgių k., Tvenkinio g., mūrinis sodo namas",155 000 €,25,80 m²,6 a,2,2020,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Bačiūnai, mūrinis namas",120 000 €,,80 m²,10 a,1,2023,Mūrinis,Namas (gyvenamasis),Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Bubių k., Lauko g., mūrinis namas",418 000 €,,195 m²,30 a,1,2020,Mūrinis,Namas (gyvenamasis),"Centrinis kolektorinis, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Vietinis vandentiekis,Tvenkinys,5,Kraštinis sklypasGreta miškoElektraInternetasSu pakrante,GaražasPirtisRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Šiauliai, Rėkyva, Aušrinės Sodų 11-oji g., blokinis namas",105 000 €,,57 m²,"6,6 a",2,"2017 statyba, 2021 renovacija",Blokinis,Namas (gyvenamasis),"Elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Gervėnų k., Alyvų g., mūrinis namas",112 500 €,,"82,68 m²","12,5 a",1,1997,Mūrinis,Namas (gyvenamasis),"Centrinis kolektorinis, dujinis, kita",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Kita,,1 000,Kraštinis sklypasElektra,GaražasŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaŠarvuotos durysVaizdo kameros,F,
"Šiaulių r. sav., Toliočių k., Rožių g., mūrinis sodo namas",55 000 €,,"95,78 m²","7,35 a",2,2008,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,Šulinys,Tvenkinys,150,ElektraDujos,GaražasRūsysŪkiniai pastatai,Viryklė,,,
"Šiaulių r. sav., Žadžiūnų k., mūrinis namas",31 000 €,,65 m²,15 a,2,1986,Mūrinis,Namas (gyvenamasis),Kietu kuru,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Gytariai, Beržynės g., mūrinis sublokuotas namas",139 000 €,,100 m²,4 a,1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėTerasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacija,A++,
"Šiaulių r. sav., Ginkūnų k., Rūko g., mūrinis namas",275 000 €,8,179 m²,"8,25 a",2,2012,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,GaražasTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,B,
"Šiaulių r. sav., Jakštaičių k., Beržų g., mūrinis sodo namas",42 500 €,11,160 m²,10 a,2,2006,Mūrinis,Sodo namas,"Elektra, kietu kuru",Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Vietinis vandentiekis,Tvenkinys,100,Greta miškoElektra,GaražasPirtisRūsys,,,C,
"Šiaulių r. sav., Mirskiškės k., medinė sodyba",81 000 €,,115 m²,"41,61 a",1,1971,Medinis,Sodyba,"Kietu kuru, kita",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,Tvenkinys,30,Greta miškoAsfaltuotas privažiavimasElektra,GaražasPirtisRūbinėRūsysŪkiniai pastatai,,Aptverta teritorijaVaizdo kameros,,
"Šiauliai, Bačiūnai, Saulutės Sodų 4-oji g., mūrinis namas",123 000 €,10,80 m²,7 a,1,2023,Mūrinis,Namas (gyvenamasis),"Centrinis kolektorinis, dujinis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,,,Kraštinis sklypasGreta miškoElektraDujos,,Šildomos grindys,,B,
