Adresas,Kaina,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Pastato energijos suvartojimo klasė:,Namo numeris:,Unikalus daikto numeris(RC numeris):
"Vilnius, Aukštieji Paneriai, Pranapolio g., mūrinis namas",425 000 €,"227,63 m²","16,97 a",5,2,2007,Mūrinis,Namas (gyvenamasis),Dujinis,Kita,Įrengtas,Upė,1 000,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,
"Vilniaus r. sav., Balandiškių k., Gervių g., mūrinis sublokuotas namas",239 000 €,117 m²,"5,2 a",4,1,2022,Mūrinis,Sublokuotas namas,Aeroterminis,Vietinis vandentiekis,Dalinė apdaila,Ežeras,1 500,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,RūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Užugriovio k., Kikilių g., mūrinis sublokuotas namas",199 000 €,115 m²,"5,5 a",4,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Vietinis vandentiekis,Dalinė apdaila,Tvenkinys,100,Greta miškoAsfaltuotas privažiavimasElektra,RūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiai,Šarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Trakų Vokė, Grinapolio g., mūrinis sublokuotas namas",260 000 €,158 m²,11 a,5,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Vietinis vandentiekis,Dalinė apdaila,,,Asfaltuotas privažiavimasElektra,GaražasTerasa,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durysVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,22,
"Vilniaus r. sav., Balandiškių k., Gervių g., mūrinis sublokuotas namas",222 000 €,"122,84 m²","3,59 a",,2,2022,Mūrinis,Sublokuotas namas,"Aeroterminis, saulės energija",,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,23,
"Vilnius, Pavilnys, Punios g., mūrinis sublokuotas namas",259 000 €,153 m²,"5,5 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Artezinis,Dalinė apdaila,,,Kraštinis sklypasGreta miškoElektra,GaražasTerasa,,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,11,
"Vilnius, Paneriai, Grendavės g., mūrinis sublokuotas namas",219 000 €,"82,31 m²","4,1 a",4,1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Vietinis vandentiekis,Įrengtas,,,Greta miškoAsfaltuotas privažiavimasElektra,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,46,
"Vilniaus r. sav., Karklėnų k., Vilties g., skydinis namas",171 000 €,124 m²,10 a,,1,2023,Skydinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,9,
"Vilnius, Antakalnis, Sublokuotas namas",549 000 €,158 m²,"5,61 a",4,2,2023,Kita,Sublokuotas namas,Aeroterminis,"Artezinis, kita",Įrengtas,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetas,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Markučiai, Geležinė g., mūrinis sublokuotas namas",495 000 €,112 m²,3 a,,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,8,
"Vilnius, Trakų Vokė, Grinapolio g., mūrinis sublokuotas namas",70 000 €,280 m²,11 a,10,2,2023,Mūrinis,Sublokuotas namas,"Elektra, aeroterminis",Vietinis vandentiekis,Nebaigtas statyti,Ežeras,2 000,Asfaltuotas privažiavimasElektra,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,20,
"Vilniaus r. sav., Gudamedžio k., karkasinis namas",299 000 €,208 m²,"1106,52 a",,3,2023,Karkasinis,Namas (gyvenamasis),"Elektra, skystu kuru, dujinis, kita",,Įrengtas,,,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,7,
"Vilnius, Antakalnis, Meiriškių g., mūrinis namas",309 000 €,"122,62 m²","3,07 a",5,2,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,"Artezinis, miesto vandentiekis",Dalinė apdaila,Ežeras,1 100,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetas,RūbinėTerasa,KondicionieriusŠildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilnius, Antakalnis, Meiriškių g., mūrinis sublokuotas namas",299 000 €,134 m²,3 a,5,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,"Artezinis, miesto vandentiekis",Dalinė apdaila,Ežeras,1 100,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetas,RūbinėTerasa,KondicionieriusŠildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
"Vilniaus r. sav., Didžiųjų Gulbinų k., Pelėdų g., mūrinis sublokuotas namas",289 000 €,145 m²,"8,25 a",9,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Artezinis,Dalinė apdaila,Ežeras,500,Kraštinis sklypasGreta miškoElektraInternetasKabelinė televizija,RūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiai,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,78,
"Vilnius, Mažieji Gulbinai, Mažųjų Gulbinų g., mūrinis namas",62 000 €,120 m²,"12,5 a",,2,2007,Mūrinis,Namas (gyvenamasis),Kietu kuru,Artezinis,Nebaigtas statyti,Ežeras,1 000,Greta miškoAsfaltuotas privažiavimasElektra,Ūkiniai pastatai,ŽidinysPlastikiniai vamzdžiai,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,55,
"Vilniaus r. sav., Didžiosios Riešės k., Parko g., mūrinis sublokuotas namas",440 000 €,184 m²,5 a,5,2,2010,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,,,Asfaltuotas privažiavimasDujos,GaražasPirtisTerasa,Su baldaisŠildomos grindys,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,B,,
"Vilnius, Pilaitė, M. Pretorijaus g., mūrinis sublokuotas namas",208 000 €,80 m²,"1,5 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Ežeras,250,Asfaltuotas privažiavimas,,Šildomos grindys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,,
