Adresas,Kaina,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Namo numeris:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Ypatybės:,Papildoma įranga:,Apsauga:,Papildomos patalpos:,Unikalus daikto numeris(RC numeris):
"Klaipėdos r. sav., Kiškėnų k., mūrinis namas",62 000 €,80 m²,6 a,1,2023,Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Klausmylių vs., Linų g., mūrinis namas",130 000 €,100 m²,10 a,1,2024,Mūrinis,Namas (gyvenamasis),"Geoterminis, aeroterminis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Lelių k., Tolminkiemio g., mūrinis namas",99 000 €,80 m²,6 a,1,2024,Mūrinis,Namas (gyvenamasis),"Geoterminis, aeroterminis",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Klemiškės II k., mūrinis namas",186 000 €,120 m²,"7,05 a",1,2023,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
"Klaipėdos r. sav., Ketvergių k., Tvenkinio g., mūrinis namas",148 000 €,103 m²,9 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,18,4,Vietinis vandentiekis,Ežeras,30,A++,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Plastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,,
"Klaipėda, Tauralaukis, Žaibo g., mūrinis sublokuotas namas",215 000 €,86 m²,"2,71 a",2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Miesto vandentiekis,Upė,300,A+,Elektra,Šildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Terasa,
"Klaipėda, Giruliai, Šventosios g., mūrinis sublokuotas namas",400 000 €,"159,77 m²","1,618 a",2,2008,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,8,,,,,,,,,,
"Klaipėdos r. sav., Žiaukų k., Vingirių g., mūrinis sodo namas",137 000 €,"68,3 m²","10,23 a",2,2010,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,14,,,,,,,,,,
"Klaipėdos r. sav., Ketvergių k., Tvenkinio g., mūrinis namas",146 000 €,80 m²,"6,31 a",1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,16,,,,,,,,,,
"Klaipėdos r. sav., Klemiškės II k., mūrinis namas",200 000 €,137 m²,"7,03 a",1,2023,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,,
